Mercury; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Venus; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Earth; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Mars; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Jupiter; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Saturn; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Uranus; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Neptune; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
16 Cygni Bb; Planet; ; 2.38; ; 799.5; 1.66; ; radial vel.; 1996; 68.99; 1.04; 5750; ; 
Kepler-1089b; Planet; ; ; 0.163; 5.13248562; ; ; transit; 2016; 740; 0.52; 3753; ; 
Kepler-1090b; Planet; ; ; 0.201; 198.680179; ; ; transit; 2016; 2290; 0.86; 5321; ; 
Kepler-1091b; Planet; ; ; 0.13; 1.43474156; ; ; transit; 2016; 2980; 1.01; 5851; ; 
Kepler-1092b; Planet; ; ; 0.185; 58.6017925; ; ; transit; 2016; 2980; 0.99; 5862; ; 
Kepler-1093b; Planet; ; ; 0.174; 25.0824626; ; ; transit; 2016; 2770; 1.13; 6166; ; 
Kepler-1093c; Planet; ; ; 0.175; 89.722292; ; ; transit; 2016; 2770; 1.13; 6166; ; 
Kepler-1094b; Planet; ; ; 0.284; 78.1000231; ; ; transit; 2016; 4470; 1.14; 6112; ; 
Kepler-1095b; Planet; ; ; 0.108; 4.27103091; ; ; transit; 2016; 2470; 0.94; 5658; ; 
Kepler-1096b; Planet; ; ; 0.111; 2.89221751; ; ; transit; 2016; 1120; 0.66; 4306; ; 
Kepler-1097b; Planet; ; ; 0.291; 187.747029; ; ; transit; 2016; 2410; 0.82; 5211; ; 
Kepler-1098b; Planet; ; ; 0.116; 2.54307286; ; ; transit; 2016; 2860; 0.99; 5794; ; 
Kepler-1099b; Planet; ; ; 0.252; 2.16845259; ; ; transit; 2016; 3940; 1.01; 5837; ; 
Kepler-1100b; Planet; ; ; 0.156; 6.42200058; ; ; transit; 2016; 3100; 1.21; 6247; ; 
Kepler-1101b; Planet; ; ; 0.22; 81.3151059; ; ; transit; 2016; 2930; 0.94; 5614; ; 
Kepler-1102b; Planet; ; ; 0.237; 51.3285623; ; ; transit; 2016; 3220; 0.96; 5724; ; 
Kepler-1103b; Planet; ; ; 0.203; 19.79191978; ; ; transit; 2016; 3000; 1.11; 6092; ; 
Kepler-1104b; Planet; ; ; 0.11; 5.03728015; ; ; transit; 2016; 1680; 1.3; 6417; ; 
Kepler-1105b; Planet; ; ; 0.179; 4.42157218; ; ; transit; 2016; 1200; 0.71; 4299; ; 
Kepler-1106b; Planet; ; ; 0.147; 1.25275217; ; ; transit; 2016; 3810; 1.11; 6104; ; 
Kepler-1107b; Planet; ; ; 0.12; 0.57103852; ; ; transit; 2016; 1490; 0.86; 5268; ; 
Kepler-1108b; Planet; ; ; 0.13; 4.51005748; ; ; transit; 2016; 2490; 0.88; 5406; ; 
Kepler-1109b; Planet; ; ; 0.195; 37.6467384; ; ; transit; 2016; 2600; 1.05; 5893; ; 
Kepler-1110b; Planet; ; ; 0.237; 9.69312032; ; ; transit; 2016; 2370; 0.73; 4781; ; 
Kepler-1111b; Planet; ; ; 0.178; 8.79617863; ; ; transit; 2016; 3720; 1.1; 6077; ; 
Kepler-1112b; Planet; ; ; 0.269; 14.36267939; ; ; transit; 2016; 5660; 1.34; 6496; ; 
Kepler-1113b; Planet; ; ; 0.251; 42.3004954; ; ; transit; 2016; 3680; 1.12; 5931; ; 
Kepler-1114b; Planet; ; ; 0.12; 14.97435694; ; ; transit; 2016; 1390; 0.87; 5374; ; 
Kepler-1115b; Planet; ; ; 0.152; 23.5540725; ; ; transit; 2016; 3050; 1.6; 8480; ; 
Kepler-1116b; Planet; ; ; 0.227; 41.6977827; ; ; transit; 2016; 3320; 0.95; 5641; ; 
Kepler-1117b; Planet; ; ; 0.099; 4.79028459; ; ; transit; 2016; 2020; 0.95; 5612; ; 
Kepler-1118b; Planet; ; ; 0.244; 38.6715075; ; ; transit; 2016; 2670; 0.96; 5688; ; 
Kepler-1119b; Planet; ; ; 0.171; 8.3265153; ; ; transit; 2016; 4200; 1.11; 6083; ; 
Kepler-1120b; Planet; ; ; 0.123; 2.94902905; ; ; transit; 2016; 2070; 0.78; 4904; ; 
Kepler-1121b; Planet; ; ; 0.17; 13.15141081; ; ; transit; 2016; 1730; 1.29; 6231; ; 
Kepler-1122b; Planet; ; ; 0.182; 42.1917357; ; ; transit; 2016; 3010; 0.92; 5544; ; 
Kepler-1123b; Planet; ; ; 0.149; 4.33946454; ; ; transit; 2016; 2600; 0.93; 5500; ; 
Kepler-1124b; Planet; ; ; 0.114; 2.85234897; ; ; transit; 2016; 580; 0.35; 3658; ; 
Kepler-1125b; Planet; ; ; 0.164; 17.6700642; ; ; transit; 2016; 3000; 0.95; 5683; ; 
Kepler-1126b; Planet; ; ; 0.154; 108.593329; ; ; transit; 2016; 2180; 0.92; 5798; ; 
Kepler-1127b; Planet; ; ; 0.175; 5.12330347; ; ; transit; 2016; 3250; 0.97; 5664; ; 
Kepler-1128b; Planet; ; ; 0.326; 61.6178167; ; ; transit; 2016; 3790; 0.94; 5543; ; 
Kepler-1129b; Planet; ; ; 0.264; 24.3397804; ; ; transit; 2016; 4100; 1; 5831; ; 
Kepler-1129c; Planet; ; ; 0.244; 76.5369586; ; ; transit; 2016; 4100; 1; 5831; ; 
Kepler-1130b; Planet; ; ; 0.071; 5.45298175; ; ; transit; 2016; 760; 0.9; 5403; ; 
Kepler-1131b; Planet; ; ; 0.142; 3.53232449; ; ; transit; 2016; 3620; 1.03; 5851; ; 
Kepler-1132b; Planet; ; ; 0.21; 62.8916228; ; ; transit; 2016; 3100; 0.87; 5298; ; 
Kepler-1133b; Planet; ; ; 0.176; 11.55562343; ; ; transit; 2016; 2680; 0.93; 5569; ; 
Kepler-1134b; Planet; ; ; 0.236; 17.13263989; ; ; transit; 2016; 3250; 0.84; 5281; ; 
Kepler-1135b; Planet; ; ; 0.165; 76.957857; ; ; transit; 2016; 2370; 0.96; 5656; ; 
Kepler-1136b; Planet; ; ; 0.146; 2.36172433; ; ; transit; 2016; 1780; 0.72; 4512; ; 
Kepler-1137b; Planet; ; ; 0.196; 23.9210791; ; ; transit; 2016; 3170; 1.5; 6807; ; 
Kepler-1138b; Planet; ; ; 0.152; 3.17060005; ; ; transit; 2016; 3590; 0.95; 5582; ; 
Kepler-1139b; Planet; ; ; 0.106; 0.81316672; ; ; transit; 2016; 1810; 0.94; 5550; ; 
Kepler-1140b; Planet; ; ; 0.247; 24.0862707; ; ; transit; 2016; 2140; 0.76; 4850; ; 
Kepler-1141b; Planet; ; ; 0.073; 2.34451194; ; ; transit; 2016; 1190; 1.01; 5791; ; 
Kepler-1142b; Planet; ; ; 0.131; 18.3027248; ; ; transit; 2016; 2270; 0.97; 5685; ; 
Kepler-1143b; Planet; ; ; 0.149; 2.88890485; ; ; transit; 2016; 2060; 0.81; 5053; ; 
Kepler-1143c; Planet; ; ; 0.321; 210.630591; ; ; transit; 2016; 2060; 0.81; 5053; ; 
Kepler-1144b; Planet; ; ; 0.178; 17.14647302; ; ; transit; 2016; 3300; 0.98; 5753; ; 
Kepler-1145b; Planet; ; ; 0.125; 3.97076766; ; ; transit; 2016; 2330; 0.79; 5064; ; 
Kepler-1146b; Planet; ; ; 0.11; 2.3522658; ; ; transit; 2016; 2260; 0.74; 4692; ; 
Kepler-1147b; Planet; ; ; 0.233; 10.62784997; ; ; transit; 2016; 4810; 1.09; 5941; ; 
Kepler-1148b; Planet; ; ; 0.151; 1.10446351; ; ; transit; 2016; 2220; 0.81; 5054; ; 
Kepler-1149b; Planet; ; ; 0.128; 3.73089898; ; ; transit; 2016; 3340; 1.02; 5833; ; 
Kepler-1150b; Planet; ; ; 0.091; 2.78786839; ; ; transit; 2016; 1220; 0.76; 4754; ; 
Kepler-1151b; Planet; ; ; 0.198; 65.6478424; ; ; transit; 2016; 2490; 0.88; 5470; ; 
Kepler-1152b; Planet; ; ; 0.078; 1.64680191; ; ; transit; 2016; 600; 0.55; 3964; ; 
Kepler-1153b; Planet; ; ; 0.154; 1.75583533; ; ; transit; 2016; 3860; 0.91; 5470; ; 
Kepler-1154b; Planet; ; ; 0.209; 5.1856142; ; ; transit; 2016; 4990; 1.26; 6327; ; 
Kepler-1154c; Planet; ; ; 0.211; 8.45808312; ; ; transit; 2016; 4990; 1.26; 6327; ; 
Kepler-1155b; Planet; ; ; 0.181; 33.469743; ; ; transit; 2016; 3220; 1.03; 5842; ; 
Kepler-1156b; Planet; ; ; 0.118; 11.89520511; ; ; transit; 2016; 2480; 1; 5778; ; 
Kepler-1157b; Planet; ; ; 0.097; 4.45743164; ; ; transit; 2016; 1130; 0.76; 4679; ; 
Kepler-1158b; Planet; ; ; 0.209; 13.5396293; ; ; transit; 2016; 4100; 1.41; 6203; ; 
Kepler-1159b; Planet; ; ; 0.211; 22.70816791; ; ; transit; 2016; 4040; 1.19; 6217; ; 
Kepler-1160b; Planet; ; ; 0.191; 7.97034958; ; ; transit; 2016; 4220; 0.92; 5519; ; 
Kepler-1161b; Planet; ; ; 0.19; 10.71252541; ; ; transit; 2016; 1400; 0.59; 4253; ; 
Kepler-1162b; Planet; ; ; 0.197; 32.5637069; ; ; transit; 2016; 3230; 0.89; 5390; ; 
Kepler-1163b; Planet; ; ; 0.092; 6.11786898; ; ; transit; 2016; 1590; 1.22; 6302; ; 
Kepler-1164b; Planet; ; ; 0.1; 3.97599768; ; ; transit; 2016; 1460; 0.85; 5183; ; 
Kepler-1165b; Planet; ; ; 0.138; 9.478522; ; ; transit; 2016; 3530; 1.13; 6080; ; 
Kepler-1166b; Planet; ; ; 0.151; 33.2406882; ; ; transit; 2016; 2110; 0.9; 5446; ; 
Kepler-1167b; Planet; ; ; 0.153; 1.00393374; ; ; transit; 2016; 2650; 0.79; 4971; ; 
Kepler-1168b; Planet; ; ; 0.223; 55.8226539; ; ; transit; 2016; 2970; 0.87; 5157; ; 
Kepler-1169b; Planet; ; ; 0.084; 6.11009134; ; ; transit; 2016; 1750; 1.24; 6191; ; 
Kepler-1170b; Planet; ; ; 0.215; 9.98969327; ; ; transit; 2016; 2970; 0.8; 5069; ; 
Kepler-1171b; Planet; ; ; 0.228; 1.44259224; ; ; transit; 2016; 2010; 1.58; 7044; ; 
Kepler-1172b; Planet; ; ; 0.285; 26.0204423; ; ; transit; 2016; 4210; 0.92; 5558; ; 
Kepler-1173b; Planet; ; ; 0.079; 0.7698536; ; ; transit; 2016; 1310; 0.86; 5252; ; 
Kepler-1174b; Planet; ; ; 0.142; 6.89225223; ; ; transit; 2016; 2700; 1.04; 5936; ; 
Kepler-1175b; Planet; ; ; 0.267; 37.94563; ; ; transit; 2016; 4060; 0.9; 5453; ; 
Kepler-1176b; Planet; ; ; 0.219; 24.1738579; ; ; transit; 2016; 3340; 1.01; 5844; ; 
Kepler-1177b; Planet; ; ; 0.17; 106.247547; ; ; transit; 2016; 2700; 0.98; 5712; ; 
Kepler-1178b; Planet; ; ; 0.095; 31.80634; ; ; transit; 2016; 1100; 0.8; 4990; ; 
Kepler-1179b; Planet; ; ; 0.118; 2.68505749; ; ; transit; 2016; 1480; 0.84; 5212; ; 
Kepler-1180b; Planet; ; ; 0.178; 16.8601286; ; ; transit; 2016; 4190; 1.09; 6077; ; 
Kepler-1181b; Planet; ; ; 0.14; 4.89337519; ; ; transit; 2016; 2830; 1.17; 6176; ; 
Kepler-1182b; Planet; ; ; 0.215; 11.17394617; ; ; transit; 2016; 4100; 1.04; 5924; ; 
Kepler-1183b; Planet; ; ; 0.252; 28.5057189; ; ; transit; 2016; 4490; 1; 5765; ; 
Kepler-1184b; Planet; ; ; 0.239; 53.5991044; ; ; transit; 2016; 3890; 1.05; 5983; ; 
Kepler-1185b; Planet; ; ; 0.119; 104.3518976; ; ; transit; 2016; 970; 0.96; 5622; ; 
Kepler-1186b; Planet; ; ; 0.199; 16.07677615; ; ; transit; 2016; 3630; 0.95; 5635; ; 
Kepler-1187b; Planet; ; ; 0.233; 18.87064068; ; ; transit; 2016; 3360; 1.06; 5975; ; 
Kepler-1188b; Planet; ; ; 0.186; 17.1369543; ; ; transit; 2016; 3920; 1.04; 5913; ; 
Kepler-1189b; Planet; ; ; 0.158; 3.78858982; ; ; transit; 2016; 2880; 1.11; 6012; ; 
Kepler-1190b; Planet; ; ; 0.119; 10.45843441; ; ; transit; 2016; 1250; 0.76; 4730; ; 
Kepler-1191b; Planet; ; ; 0.135; 5.60014851; ; ; transit; 2016; 2860; 0.85; 5308; ; 
Kepler-1192b; Planet; ; ; 0.211; 25.2034787; ; ; transit; 2016; 3610; 0.86; 5438; ; 
Kepler-1193b; Planet; ; ; 0.118; 2.83265213; ; ; transit; 2016; 2270; 1.08; 5908; ; 
Kepler-1194b; Planet; ; ; 0.135; 16.22371307; ; ; transit; 2016; 2010; 0.94; 5590; ; 
Kepler-1195b; Planet; ; ; 0.186; 8.49642241; ; ; transit; 2016; 2650; 0.74; 4965; ; 
Kepler-1196b; Planet; ; ; 0.199; 66.1849031; ; ; transit; 2016; 3090; 0.98; 5756; ; 
Kepler-1197b; Planet; ; ; 0.112; 2.03231845; ; ; transit; 2016; 1650; 0.78; 4708; ; 
Kepler-1198b; Planet; ; ; 0.131; 7.6847716; ; ; transit; 2016; 2530; 0.93; 5517; ; 
Kepler-1199b; Planet; ; ; 0.103; 15.0447198; ; ; transit; 2016; 1800; 0.94; 5889; ; 
Kepler-1200b; Planet; ; ; 0.095; 1.11854972; ; ; transit; 2016; 1890; 0.74; 4612; ; 
Kepler-1201b; Planet; ; ; 0.204; 15.18725932; ; ; transit; 2016; 3920; 1.15; 6177; ; 
Kepler-1202b; Planet; ; ; 0.262; 28.6851324; ; ; transit; 2016; 4540; 1.03; 5834; ; 
Kepler-1203b; Planet; ; ; 0.095; 0.58800076; ; ; transit; 2016; 880; 0.64; 4105; ; 
Kepler-1204b; Planet; ; ; 0.272; 85.7350285; ; ; transit; 2016; 4180; 1.03; 5825; ; 
Kepler-1205b; Planet; ; ; 0.126; 1.07839035; ; ; transit; 2016; 2500; 0.84; 5226; ; 
Kepler-1206b; Planet; ; ; 0.146; 1.21699766; ; ; transit; 2016; 2630; 0.8; 4877; ; 
Kepler-1207b; Planet; ; ; 0.145; 13.68237119; ; ; transit; 2016; 3090; 1.06; 5909; ; 
Kepler-1208b; Planet; ; ; 0.207; 11.08507637; ; ; transit; 2016; 2860; 0.8; 5001; ; 
Kepler-1209b; Planet; ; ; 0.135; 25.369116; ; ; transit; 2016; 1820; 1.23; 6210; ; 
Kepler-1210b; Planet; ; ; 0.152; 8.07124073; ; ; transit; 2016; 3770; 0.94; 5568; ; 
Kepler-1211b; Planet; ; ; 0.227; 11.01816836; ; ; transit; 2016; 4850; 0.96; 5705; ; 
Kepler-1212b; Planet; ; ; 0.191; 12.94130146; ; ; transit; 2016; 4250; 1.1; 6051; ; 
Kepler-1213b; Planet; ; ; 0.106; 5.34982412; ; ; transit; 2016; 2230; 1.14; 6050; ; 
Kepler-1214b; Planet; ; ; 0.211; 18.82634264; ; ; transit; 2016; 2470; 0.85; 5130; ; 
Kepler-1215b; Planet; ; ; 0.109; 4.76703963; ; ; transit; 2016; 2290; 0.95; 5616; ; 
Kepler-1216b; Planet; ; ; 0.124; 4.37034536; ; ; transit; 2016; 3670; 0.99; 5743; ; 
Kepler-1217b; Planet; ; ; 0.178; 2.03232507; ; ; transit; 2016; 4450; 1.06; 5905; ; 
Kepler-1218b; Planet; ; ; 0.128; 22.9221266; ; ; transit; 2016; 2180; 1.06; 5986; ; 
Kepler-1219b; Planet; ; ; 0.189; 16.10467749; ; ; transit; 2016; 2030; 1.25; 5944; ; 
Kepler-1220b; Planet; ; ; 0.136; 7.42693741; ; ; transit; 2016; 3120; 1; 5842; ; 
Kepler-1221b; Planet; ; ; 0.168; 12.00096042; ; ; transit; 2016; 2960; 0.87; 5194; ; 
Kepler-1222b; Planet; ; ; 0.07; 1.91694425; ; ; transit; 2016; 1480; 0.84; 5239; ; 
Kepler-1223b; Planet; ; ; 0.109; 16.301259; ; ; transit; 2016; 1480; 0.8; 4870; ; 
Kepler-1224b; Planet; ; ; 0.119; 13.32351601; ; ; transit; 2016; 1890; 1.18; 6155; ; 
Kepler-1225b; Planet; ; ; 0.162; 7.01075434; ; ; transit; 2016; 4050; 1.13; 6140; ; 
Kepler-1226b; Planet; ; ; 0.129; 17.2923453; ; ; transit; 2016; 2540; 1.02; 5923; ; 
Kepler-1227b; Planet; ; ; 0.204; 94.2887577; ; ; transit; 2016; 2180; 0.97; 5747; ; 
Kepler-1228b; Planet; ; ; 0.137; 0.57736958; ; ; transit; 2016; 1780; 0.78; 5063; ; 
Kepler-1229b; Planet; ; ; 0.125; 86.828989; ; ; transit; 2016; 770; 0.54; 3784; ; 
Kepler-1230b; Planet; ; ; 0.242; 9.95661537; ; ; transit; 2016; 4670; 1.06; 5961; ; 
Kepler-1231b; Planet; ; ; 0.127; 10.41725184; ; ; transit; 2016; 3090; 1.01; 5778; ; 
Kepler-1232b; Planet; ; ; 0.172; 26.7839183; ; ; transit; 2016; 2400; 0.92; 5471; ; 
Kepler-1233b; Planet; ; ; 0.232; 45.1263042; ; ; transit; 2016; 4180; 1.16; 6198; ; 
Kepler-1234b; Planet; ; ; 0.251; 11.94014029; ; ; transit; 2016; 2820; 0.8; 4967; ; 
Kepler-1235b; Planet; ; ; 0.07; 4.16055856; ; ; transit; 2016; 1740; 0.93; 5541; ; 
Kepler-1236b; Planet; ; ; 0.191; 31.0571618; ; ; transit; 2016; 3520; 0.86; 5337; ; 
Kepler-1237b; Planet; ; ; 0.255; 84.5733226; ; ; transit; 2016; 3660; 0.94; 5472; ; 
Kepler-1238b; Planet; ; ; 0.172; 4.14787559; ; ; transit; 2016; 5000; 1.3; 6386; ; 
Kepler-1239b; Planet; ; ; 0.259; 5.19104016; ; ; transit; 2016; 8190; 1.4; 6564; ; 
Kepler-1240b; Planet; ; ; 0.103; 4.8663815; ; ; transit; 2016; 2000; 0.98; 5682; ; 
Kepler-1241b; Planet; ; ; 0.235; 18.5525701; ; ; transit; 2016; 3050; 0.84; 5261; ; 
Kepler-1242b; Planet; ; ; 0.202; 13.62798432; ; ; transit; 2016; 2220; 0.77; 4895; ; 
Kepler-1243b; Planet; ; ; 0.156; 16.8320729; ; ; transit; 2016; 2860; 0.96; 5667; ; 
Kepler-1244b; Planet; ; ; 0.12; 3.70428172; ; ; transit; 2016; 2490; 1.46; 6680; ; 
Kepler-1245b; Planet; ; ; 0.128; 4.35409304; ; ; transit; 2016; 2810; 0.86; 5306; ; 
Kepler-1245c; Planet; ; ; 0.128; 2.93658468; ; ; transit; 2016; 2810; 0.86; 5306; ; 
Kepler-1246b; Planet; ; ; 0.121; 11.32271513; ; ; transit; 2016; 1420; 0.73; 4611; ; 
Kepler-1247b; Planet; ; ; 0.208; 13.71220213; ; ; transit; 2016; 3570; 0.86; 5303; ; 
Kepler-1248b; Planet; ; ; 0.105; 7.46725407; ; ; transit; 2016; 1800; 1.21; 6149; ; 
Kepler-1249b; Planet; ; ; 0.212; 24.3347127; ; ; transit; 2016; 5460; 1.19; 6202; ; 
Kepler-1250b; Planet; ; ; 0.171; 2.60754383; ; ; transit; 2016; 4470; 0.99; 5717; ; 
Kepler-1251b; Planet; ; ; 0.164; 45.0904643; ; ; transit; 2016; 2810; 0.92; 5545; ; 
Kepler-1252b; Planet; ; ; 0.149; 15.0540329; ; ; transit; 2016; 2700; 1.06; 5949; ; 
Kepler-1253b; Planet; ; ; 0.119; 68.8861915; ; ; transit; 2016; 1300; 0.97; 5850; ; 
Kepler-1254b; Planet; ; ; 0.138; 9.99113313; ; ; transit; 2016; 2200; 0.78; 4985; ; 
Kepler-1254c; Planet; ; ; 0.116; 3.60084276; ; ; transit; 2016; 2200; 0.78; 4985; ; 
Kepler-1254d; Planet; ; ; 0.117; 5.72717226; ; ; transit; 2016; 2200; 0.78; 4985; ; 
Kepler-1255b; Planet; ; ; 0.207; 36.2919336; ; ; transit; 2016; 4380; 1.08; 6018; ; 
Kepler-1256b; Planet; ; ; 0.133; 12.4127754; ; ; transit; 2016; 2810; 1.17; 6129; ; 
Kepler-1257b; Planet; ; ; 0.136; 2.66831376; ; ; transit; 2016; 3530; 0.9; 5502; ; 
Kepler-1258b; Planet; ; ; 0.077; 0.98494017; ; ; transit; 2016; 2120; 0.99; 5839; ; 
Kepler-1259b; Planet; ; ; 0.128; 0.66308526; ; ; transit; 2016; 2300; 0.8; 5053; ; 
Kepler-1260b; Planet; ; ; 0.158; 19.1187753; ; ; transit; 2016; 3400; 1.06; 5961; ; 
Kepler-1261b; Planet; ; ; 0.202; 48.4308991; ; ; transit; 2016; 2590; 0.82; 5006; ; 
Kepler-1262b; Planet; ; ; 0.162; 8.67900242; ; ; transit; 2016; 3760; 0.99; 5771; ; 
Kepler-1263b; Planet; ; ; 0.102; 4.55139967; ; ; transit; 2016; 2270; 0.84; 5213; ; 
Kepler-1264b; Planet; ; ; 0.105; 0.96852602; ; ; transit; 2016; 2650; 0.99; 5791; ; 
Kepler-1265b; Planet; ; ; 0.12; 6.49441289; ; ; transit; 2016; 1890; 0.71; 4630; ; 
Kepler-1266b; Planet; ; ; 0.23; 28.474748; ; ; transit; 2016; 2940; 0.8; 5044; ; 
Kepler-1267b; Planet; ; ; 0.269; 13.0313945; ; ; transit; 2016; 5310; 1.15; 6096; ; 
Kepler-1268b; Planet; ; ; 0.181; 40.9903986; ; ; transit; 2016; 4590; 1.06; 5904; ; 
Kepler-1269b; Planet; ; ; 0.145; 37.3331536; ; ; transit; 2016; 2300; 1.1; 5998; ; 
Kepler-1270b; Planet; ; ; 0.296; 6.03356196; ; ; transit; 2016; 3930; 1.28; 5047; ; 
Kepler-1271b; Planet; ; ; 0.132; 3.0255955; ; ; transit; 2016; 2890; 1.13; 6143; ; 
Kepler-1272b; Planet; ; ; 0.211; 51.1309704; ; ; transit; 2016; 2920; 1.06; 5926; ; 
Kepler-1273b; Planet; ; ; 0.222; 28.625653; ; ; transit; 2016; 4420; 0.94; 5566; ; 
Kepler-1274b; Planet; ; ; 0.127; 6.98152703; ; ; transit; 2016; 1990; 1.45; 6179; ; 
Kepler-1275b; Planet; ; ; 0.132; 3.65691115; ; ; transit; 2016; 4200; 1.23; 6296; ; 
Kepler-1276b; Planet; ; ; 0.106; 12.5720095; ; ; transit; 2016; 1910; 1.14; 6188; ; 
Kepler-1277b; Planet; ; ; 0.143; 40.8365012; ; ; transit; 2016; 1980; 0.94; 5578; ; 
Kepler-1278b; Planet; ; ; 0.09; 3.23941344; ; ; transit; 2016; 2420; 1.11; 6074; ; 
Kepler-1279b; Planet; ; ; 0.156; 23.4774101; ; ; transit; 2016; 3320; 1.21; 6221; ; 
Kepler-1280b; Planet; ; ; 0.167; 66.5579057; ; ; transit; 2016; 3280; 1.2; 6227; ; 
Kepler-1281b; Planet; ; ; 0.146; 3.11602791; ; ; transit; 2016; 3600; 0.87; 5353; ; 
Kepler-1282b; Planet; ; ; 0.138; 2.13194651; ; ; transit; 2016; 3670; 0.92; 5504; ; 
Kepler-1283b; Planet; ; ; 0.17; 12.9460978; ; ; transit; 2016; 4740; 1.16; 6175; ; 
Kepler-1284b; Planet; ; ; 0.108; 0.66407381; ; ; transit; 2016; 2780; 0.84; 5123; ; 
Kepler-1285b; Planet; ; ; 0.087; 14.7967458; ; ; transit; 2016; 1190; 1.2; 6170; ; 
Kepler-1286b; Planet; ; ; 0.192; 11.25402929; ; ; transit; 2016; 3800; 1; 5753; ; 
Kepler-1287b; Planet; ; ; 0.137; 11.47685909; ; ; transit; 2016; 3350; 0.96; 5715; ; 
Kepler-1288b; Planet; ; ; 0.1; 2.76122421; ; ; transit; 2016; 2330; 1.2; 6132; ; 
Kepler-1289b; Planet; ; ; 0.136; 7.99019627; ; ; transit; 2016; 3450; 1.1; 6080; ; 
Kepler-1290b; Planet; ; ; 0.127; 4.69500134; ; ; transit; 2016; 4310; 0.95; 5660; ; 
Kepler-1291b; Planet; ; ; 0.148; 8.63043276; ; ; transit; 2016; 3200; 0.84; 5216; ; 
Kepler-1292b; Planet; ; ; 0.162; 3.27646405; ; ; transit; 2016; 4590; 0.95; 5556; ; 
Kepler-1293b; Planet; ; ; 0.087; 5.57654784; ; ; transit; 2016; 2500; 1.18; 6241; ; 
Kepler-1294b; Planet; ; ; 0.285; 115.6862258; ; ; transit; 2016; 3700; 0.99; 5776; ; 
Kepler-1295b; Planet; ; ; 0.138; 3.81371974; ; ; transit; 2016; 4100; 0.92; 5486; ; 
Kepler-1296b; Planet; ; ; 0.081; 8.3839865; ; ; transit; 2016; 2060; 0.87; 5359; ; 
Kepler-1297b; Planet; ; ; 0.087; 1.68189002; ; ; transit; 2016; 3250; 0.99; 5818; ; 
Kepler-1298b; Planet; ; ; 0.117; 7.12811928; ; ; transit; 2016; 1620; 1.45; 6339; ; 
Kepler-1299b; Planet; ; ; 0.266; 19.9400874; ; ; transit; 2016; 4410; 0.94; 5609; ; 
Kepler-1300b; Planet; ; ; 0.122; 22.2419092; ; ; transit; 2016; 2470; 1.29; 6130; ; 
Kepler-1301b; Planet; ; ; 0.125; 9.08237046; ; ; transit; 2016; 2660; 0.85; 5188; ; 
Kepler-1302b; Planet; ; ; 0.128; 8.83922659; ; ; transit; 2016; 2370; 0.86; 5236; ; 
Kepler-1303b; Planet; ; ; 0.127; 7.56127224; ; ; transit; 2016; 2950; 1.01; 5771; ; 
Kepler-1304b; Planet; ; ; 0.204; 16.1288853; ; ; transit; 2016; 2220; 0.85; 5259; ; 
Kepler-1305b; Planet; ; ; 0.168; 13.5630972; ; ; transit; 2016; 4380; 0.97; 5701; ; 
Kepler-1306b; Planet; ; ; 0.17; 16.29595382; ; ; transit; 2016; 3700; 0.98; 5727; ; 
Kepler-1307b; Planet; ; ; 0.22; 18.01621096; ; ; transit; 2016; 4550; 1.06; 5884; ; 
Kepler-1308b; Planet; ; ; 0.046; 2.10433812; ; ; transit; 2016; 240; 0.35; 3468; ; 
Kepler-1309b; Planet; ; ; 0.211; 28.8432647; ; ; transit; 2016; 2760; 0.85; 5235; ; 
Kepler-1310b; Planet; ; ; 0.128; 0.67933627; ; ; transit; 2016; 1900; 0.91; 5549; ; 
Kepler-1311b; Planet; ; ; 0.111; 11.1726994; ; ; transit; 2016; 2300; 1.05; 5748; ; 
Kepler-1311c; Planet; ; ; 0.109; 2.53573424; ; ; transit; 2016; 2300; 1.05; 5748; ; 
Kepler-1312b; Planet; ; ; 0.187; 5.44832529; ; ; transit; 2016; 990; 0.99; 5719; ; 
Kepler-1313b; Planet; ; ; 0.157; 3.83309118; ; ; transit; 2016; 610; 0.92; 5453; ; 
Kepler-1314b; Planet; ; ; 0.456; 5.42474928; ; ; transit; 2016; 1510; 0.6; 4188; ; 
Kepler-1315b; Planet; ; ; 0.123; 0.84338011; ; ; transit; 2016; 1650; 0.8; 4861; ; 
Kepler-1316b; Planet; ; ; 0.316; 87.9732136; ; ; transit; 2016; 2460; 1.04; 5884; ; 
Kepler-1317b; Planet; ; ; 0.139; 0.56887443; ; ; transit; 2016; 2390; 0.83; 5144; ; 
Kepler-1318b; Planet; ; ; 0.277; 213.257663; ; ; transit; 2016; 1550; 0.73; 4598; ; 
Kepler-1319b; Planet; ; ; 0.12; 2.88676265; ; ; transit; 2016; 370; 0.56; 3655; ; 
Kepler-1320b; Planet; ; ; 0.152; 0.86838653; ; ; transit; 2016; 2510; 0.8; 4817; ; 
